formula,adsorbate,adsorption_energy_eV,species_ratio,metal_nonmetal_ratio,metal_radius,nonmetal_radius,mean_bond_length,miller_index,packing_density,metal_electronegativity,metal_valence,nonmetal_electronegativity,nonmetal_valence,electronegativity_ratio,fermi_energy,band_gap,magnetic_moment,reference,remarks,formation_energy,bulk_modulus,shear_modulus,eps_avg,jid,e_hull
NiS2,Li2S6,1.81,0.25,0.5,149,88,2.36,4,0.418,1.91,10,2.58,6,0.7403100775193798,7.859,0.0,0.0,10.1039/d1ta03621a,,-0.33352,51.99666666666667,19.581666666666667,12.5,JVASP-NiS2,1.3119
NiS2,Li2S4,1.71,0.33,0.5,149,88,2.36,4,0.418,1.91,10,2.58,6,0.7403100775193798,7.859,0.0,0.0,10.1039/d1ta03621a,,-0.33352,51.99666666666667,19.581666666666667,12.5,JVASP-NiS2,1.3119
NiS2,Li2S2,2.23,0.5,0.5,149,88,2.36,4,0.418,1.91,10,2.58,6,0.7403100775193798,7.859,0.0,0.0,10.1039/d1ta03621a,,-0.33352,51.99666666666667,19.581666666666667,12.5,JVASP-NiS2,1.3119
NbSe2,S8,0.77,0.0,0.5,198,103,2.63,5,0.352,1.6,5,2.55,6,0.627450980392157,2.926,0.0,0.75,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.86256,50.138,29.726999999999997,12.5,JVASP-NbSe2,2.159
NbSe2,Li2S8,1.0,0.2,0.5,198,103,2.63,5,0.352,1.6,5,2.55,6,0.627450980392157,2.926,0.0,0.75,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.86256,50.138,29.726999999999997,12.5,JVASP-NbSe2,2.159
NbSe2,Li2S6,1.09,0.25,0.5,198,103,2.63,5,0.352,1.6,5,2.55,6,0.627450980392157,2.926,0.0,0.75,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.86256,50.138,29.726999999999997,12.5,JVASP-NbSe2,2.159
NbSe2,Li2S4,1.48,0.33,0.5,198,103,2.63,5,0.352,1.6,5,2.55,6,0.627450980392157,2.926,0.0,0.75,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.86256,50.138,29.726999999999997,12.5,JVASP-NbSe2,2.159
MoSe2,S8,0.81,0.0,0.5,190,103,2.55,5,0.353,2.16,6,2.55,6,0.8470588235294119,3.959,1.3,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.67149,45.089999999999996,29.855,12.5,JVASP-MoSe2,2.3704
MoSe2,Li2S8,0.97,0.2,0.5,190,103,2.55,5,0.353,2.16,6,2.55,6,0.8470588235294119,3.959,1.3,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.67149,45.089999999999996,29.855,12.5,JVASP-MoSe2,2.3704
MoSe2,Li2S6,0.93,0.25,0.5,190,103,2.55,5,0.353,2.16,6,2.55,6,0.8470588235294119,3.959,1.3,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.67149,45.089999999999996,29.855,12.5,JVASP-MoSe2,2.3704
MoSe2,Li2S4,1.05,0.33,0.5,190,103,2.55,5,0.353,2.16,6,2.55,6,0.8470588235294119,3.959,1.3,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.67149,45.089999999999996,29.855,12.5,JVASP-MoSe2,2.3704
InSe,S8,0.56,0.0,1.0,156,103,2.68,5,0.361,1.78,3,2.55,6,0.6980392156862746,3.13,0.46,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.50623,29.705000000000002,16.299999999999997,12.5,JVASP-InSe,0.0883
InSe,Li2S8,0.77,0.2,1.0,156,103,2.68,5,0.361,1.78,3,2.55,6,0.6980392156862746,3.13,0.46,0.0,https://doi.org/10.1016/j.apsusc.2021.151213,,-0.50623,29.705000000000002,16.299999999999997,12.5,JVASP-InSe,0.0883
